Serviços de saúde
;12;12
;11;18
;4;5
;2;2
;11;11
;5;3
;7;8
;3;7
;8;8
;10;9
;8;8
;6;7
;6;5
;8;7
;8;8
;2;4
;6;6
;1;1
;4;6
;5;5
;2;2
;4;4
;34;32
;6;8
;12;16
;8;9
;5;8
;3;3
;25;30
;5;4
;3;7
;4;4
;4;9
;14;16
;5;7
;29;39
;2;2
;4;3
;4;4
;8;9
;3;3
;1;1
;7;14
;3;3
;7;7
;2;2
;6;8
;5;5
;5;5
;2;11
;8;8
;6;9
;4;2
;1;2
;3;3
;4;5
;3;4
;4;4
;4;10
;3;5
;3;3
;7;12
;10;11
;18;19
;1;2
;4;5
;12;21
;2;4
;4;3
;3;3
;3;1
;4;6
;4;5
;4;5
;3;4
;3;6
;8;8
;27;25
;12;14
;2;2
;6;5
;3;7
;6;4
;4;4
;5;8
;9;10
;2;3
;56;61
;171;169
;17;20
;16;22
;3;3
;2;3
;2;3
;2;2
;2;2
;4;15
;6;6
;7;8
;1;3
;8;6
;3;2
;15;21
;2;2
;2;2
;5;4
;7;7
;6;6
;5;5
;6;8
;7;9
;1;3
;4;9
;4;4
;3;4
;2;3
;2;2
;3;4
;3;5
;3;2
;2;2
;2;2
;15;14
;10;10
;5;6
;5;12
;6;5
;1;1
;2;2
;2;2
;27;31
;4;6
;17;20
;6;6
;3;3
;16;19
;4;4
;9;11
;6;5
;2;2
;7;9
;9;9
;5;4
;2;3
;1;1
;23;22
;10;10
;3;4
;3;3
;6;6
;2;2
;1;3
;7;16
;4;7
;4;5
;6;7
;4;5
;1;1
;13;13
;4;3
;10;10
;4;2
;2;2
;1;1
;5;5
;2;2
;2;2
