pesquisa_id;pesquisa_nome;id;nome;posicao
11;Ensino - matrículas, docentes e rede escolar;4640;1;Deficiência
11;Ensino - matrículas, docentes e rede escolar;4641;1.1;Pelo menos uma das deficiências investigadas
11;Ensino - matrículas, docentes e rede escolar;4642;1.2;Deficiência visual
11;Ensino - matrículas, docentes e rede escolar;4643;1.3;Deficiência auditiva
11;Ensino - matrículas, docentes e rede escolar;4644;1.4;Deficiência motora
11;Ensino - matrículas, docentes e rede escolar;4645;1.5;Deficiência mental/intelectual
11;Ensino - matrículas, docentes e rede escolar;4646;1.6;Pelo menos uma das deficiências investigadas no grau severo ou deficiência mental/intelectual
11;Ensino - matrículas, docentes e rede escolar;4647;1.7;Deficiência visual severa
11;Ensino - matrículas, docentes e rede escolar;4648;1.8;Deficiência auditiva severa
11;Ensino - matrículas, docentes e rede escolar;4649;1.9;Deficiência motora severa
11;Ensino - matrículas, docentes e rede escolar;4650;1.10;Pelo menos uma das deficiências investigadas por frequência à escola (6 a 14 anos)
11;Ensino - matrículas, docentes e rede escolar;4651;1.11;Deficiência visual por frequência à escola (6 a 14 anos)
11;Ensino - matrículas, docentes e rede escolar;4652;1.12;Deficiência auditiva por frequência à escola (6 a 14 anos)
11;Ensino - matrículas, docentes e rede escolar;4653;1.13;Deficiência motora por frequência à escola (6 a 14 anos)
11;Ensino - matrículas, docentes e rede escolar;4654;1.14;Deficiência mental/intelectual por frequência à escola (6 a 14 anos)
11;Ensino - matrículas, docentes e rede escolar;4655;1.15;Pelo menos uma das deficiências investigadas no grau severo ou deficiência mental/intelectual por frequência à escola (6 a 14 anos)
11;Ensino - matrículas, docentes e rede escolar;4656;1.16;Deficiência visual severa por frequência à escola (6 a 14 anos)
11;Ensino - matrículas, docentes e rede escolar;4657;1.17;Deficiência auditiva severa por frequência à escola (6 a 14 anos)
11;Ensino - matrículas, docentes e rede escolar;4658;1.18;Deficiência motora severa por frequência à escola (6 a 14 anos)
11;Ensino - matrículas, docentes e rede escolar;4659;1.19;Pessoas com pelo menos uma das deficiências investigadas na PEA
11;Ensino - matrículas, docentes e rede escolar;4660;1.20;Pessoas com deficiência visual na PEA
11;Ensino - matrículas, docentes e rede escolar;4661;1.21;Pessoas com deficiência auditiva na PEA
11;Ensino - matrículas, docentes e rede escolar;4662;1.22;Pessoas com deficiência motora na PEA
11;Ensino - matrículas, docentes e rede escolar;4663;1.23;Pessoas com deficiência mental/intelectual na PEA
11;Ensino - matrículas, docentes e rede escolar;4664;1.24;Pessoas com pelo menos uma das deficiências investigadas no grau severo ou deficiência mental/intelectual na PEA
11;Ensino - matrículas, docentes e rede escolar;4665;1.25;Pessoas com deficiência visual severa na PEA
11;Ensino - matrículas, docentes e rede escolar;4666;1.26;Pessoas com deficiência auditiva severa na PEA
11;Ensino - matrículas, docentes e rede escolar;4667;1.27;Pessoas com deficiência motora severa na PEA
11;Ensino - matrículas, docentes e rede escolar;4668;2;Domicílios
11;Ensino - matrículas, docentes e rede escolar;4669;2.1;Total de domicílios particulares permanentes
11;Ensino - matrículas, docentes e rede escolar;4670;2.2;Total de domicílios particulares permanentes urbanos, segundo características da pessoa de referência, por condição de saneamento
11;Ensino - matrículas, docentes e rede escolar;4671;2.3;Proporção de domicílios particulares permanentes urbanos segundo características da pessoa de referência, por condição de saneamento
11;Ensino - matrículas, docentes e rede escolar;4672;2.4;Total de Pessoas em domicílios particulares permanentes
11;Ensino - matrículas, docentes e rede escolar;4673;2.5;Total de pessoas em domicílios particulares permanentes urbanos, por condição de saneamento
11;Ensino - matrículas, docentes e rede escolar;4674;2.6;Proporção de pessoas em domicílios particulares permanentes urbanos, por condição de saneamento
11;Ensino - matrículas, docentes e rede escolar;4675;2.7;Total de domicílios particulares permanentes rurais, por existência de banheiro ou sanitário
11;Ensino - matrículas, docentes e rede escolar;4676;2.8;Total de domicílios particulares permanentes rurais com banheiro ou sanitário, por tipo de esgotamento sanitário
11;Ensino - matrículas, docentes e rede escolar;4677;2.9;Total de domicílios particulares permanentes rurais, por forma de abastecimento de água
11;Ensino - matrículas, docentes e rede escolar;4678;2.10;Total de domicílios particulares permanentes rurais, por destinação do lixo
11;Ensino - matrículas, docentes e rede escolar;4679;2.11;Proporção de domicílios particulares permanentes rurais, por existência de banheiro ou sanitário
11;Ensino - matrículas, docentes e rede escolar;4680;2.12;Proporção de domicílios particulares permanentes rurais com banheiro ou sanitário, por tipo de esgotamento sanitário
11;Ensino - matrículas, docentes e rede escolar;4681;2.13;Proporção de domicílios particulares permanentes rurais, por forma de abastecimento de água
11;Ensino - matrículas, docentes e rede escolar;4682;2.14;Proporção de domicílios particulares permanentes rurais, por destinação do lixo
11;Ensino - matrículas, docentes e rede escolar;4683;2.15;Total de pessoas em domicílios particulares permanentes rurais, por existência de banheiro ou sanitário
11;Ensino - matrículas, docentes e rede escolar;4684;2.16;Total de pessoas em domicílios particulares permanentes rurais com banheiro ou sanitário, por tipo de esgotamento sanitário
