17;Morbidade hospitalar;15764;1.3.3;Doenças
17;Morbidade hospitalar;15765;1.3.3.1;Aparelho circulatório
17;Morbidade hospitalar;15766;1.3.3.1.1;Sexo
17;Morbidade hospitalar;15767;1.3.3.1.1.1;Masculino
17;Morbidade hospitalar;15768;1.3.3.1.1.2;Feminino
17;Morbidade hospitalar;15769;1.3.3.2;Aparelho digestivo
17;Morbidade hospitalar;15770;1.3.3.2.1;Sexo
17;Morbidade hospitalar;15771;1.3.3.2.1.1;Masculino
17;Morbidade hospitalar;15772;1.3.3.2.1.2;Feminino
17;Morbidade hospitalar;15773;1.3.3.3;Aparelho geniturinário
17;Morbidade hospitalar;15774;1.3.3.3.1;Sexo
17;Morbidade hospitalar;15775;1.3.3.3.1.1;Masculino
17;Morbidade hospitalar;15776;1.3.3.3.1.2;Feminino
17;Morbidade hospitalar;15777;1.3.3.4;Aparelho respiratório
17;Morbidade hospitalar;15778;1.3.3.4.1;Sexo
17;Morbidade hospitalar;15779;1.3.3.4.1.1;Masculino
17;Morbidade hospitalar;15780;1.3.3.4.1.2;Feminino
17;Morbidade hospitalar;15781;1.3.3.5;Endócrinas, nutricionais e metabólicas
17;Morbidade hospitalar;15782;1.3.3.5.1;Sexo
17;Morbidade hospitalar;15783;1.3.3.5.1.1;Masculino
17;Morbidade hospitalar;15784;1.3.3.5.1.2;Feminino
17;Morbidade hospitalar;15785;1.3.3.6;Infecciosas e parasitárias
17;Morbidade hospitalar;15786;1.3.3.6.1;Sexo
17;Morbidade hospitalar;15787;1.3.3.6.1.1;Masculino
17;Morbidade hospitalar;15788;1.3.3.6.1.2;Feminino
17;Morbidade hospitalar;15789;1.3.3.7;Olhos e anexos
17;Morbidade hospitalar;15790;1.3.3.7.1;Sexo
17;Morbidade hospitalar;15791;1.3.3.7.1.1;Masculino
17;Morbidade hospitalar;15792;1.3.3.7.1.2;Feminino
17;Morbidade hospitalar;15793;1.3.3.8;Originadas no período perinatal
17;Morbidade hospitalar;15794;1.3.3.8.1;Sexo
17;Morbidade hospitalar;15795;1.3.3.8.1.1;Masculino
17;Morbidade hospitalar;15796;1.3.3.8.1.2;Feminino
17;Morbidade hospitalar;15797;1.3.3.9;Osteomuscular e tecido conjuntivo
17;Morbidade hospitalar;15798;1.3.3.9.1;Sexo
17;Morbidade hospitalar;15799;1.3.3.9.1.1;Masculino
17;Morbidade hospitalar;15800;1.3.3.9.1.2;Feminino
17;Morbidade hospitalar;15801;1.3.3.10;Ouvido e da apófise mastóide
17;Morbidade hospitalar;15802;1.3.3.10.1;Sexo
17;Morbidade hospitalar;15803;1.3.3.10.1.1;Masculino
17;Morbidade hospitalar;15804;1.3.3.10.1.2;Feminino
17;Morbidade hospitalar;15805;1.3.3.11;Pele e do tecido subcutâneo
17;Morbidade hospitalar;15806;1.3.3.11.1;Sexo
17;Morbidade hospitalar;15807;1.3.3.11.1.1;Masculino
17;Morbidade hospitalar;15808;1.3.3.11.1.2;Feminino
17;Morbidade hospitalar;15809;1.3.3.12;Sangue, órgãos hematológicos, transtornos imunitários
17;Morbidade hospitalar;15810;1.3.3.12.1;Sexo
17;Morbidade hospitalar;15811;1.3.3.12.1.1;Masculino
17;Morbidade hospitalar;15812;1.3.3.12.1.2;Feminino
17;Morbidade hospitalar;15813;1.3.3.13;Sistema nervoso
17;Morbidade hospitalar;15814;1.3.3.13.1;Sexo
17;Morbidade hospitalar;15815;1.3.3.13.1.1;Masculino
17;Morbidade hospitalar;15816;1.3.3.13.1.2;Feminino
